Branch_Plant,Item_Nbr,Item_Desc1,Item_Desc2,Lot_Nbr,Location,Product_Line_Code,Product_Line,Item_Type_Code,Item_Type,Product_Level3,Product_Level4,Product_Level5,First_GRN_Date,Item_Year_Aging,Item_Month_Aging,Expiry_Date,Manufacturing_Date_(PRC only),UOM,Pack_Content,Lot_Status,Unit_Cost,Qty_On_Hand,Qty_Hard_Committed,Total_Value,Total_Value_In_Lacs,Qty_Soft_Committed,Qty_Work_Order_Hard_Committed,Qty_Future_Committed,Qty_Available,Year_Expiry,Item_Month_Aging
91210,7100265001,Dummy Value 73,Dummy Value 14,Dummy Value 95,YBR8-4A,406,Beds,MCP,Medsurg Capital,Beds,Medical,Institutional Business,2017-01-27,1,21,2099-12-31,,EA,1,,1192.09,1,0,1192.09,0.01,0,0,0,1,2099,21
91210,MM017,Dummy Value 58,Dummy Value 81,Dummy Value 12,YAR12-4A,406,Beds,MCP,Medsurg Capital,Beds,Medical,Institutional Business,2017-10-18,1,12,2099-12-31,,EA,1,,1331.88,1,0,1331.88,0.01,0,0,0,1,2099,12
91210,OMY8200001,Dummy Value 74,Dummy Value 19,Dummy Value 82,T02AS1A01,226,Stryker Communications,MCP,Medsurg Capital,Communications,Communications,Institutional Business,2017-09-06,1,13,2099-12-31,,EA,1,,993064.18,1,0,993064.18,9.93,0,0,0,1,2099,13
91210,8270310,Dummy Value 48,Dummy Value 95,Dummy Value 100,SSBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-09-12,0,1,2023-06-07,,EA,1,,5526.31,24,0,132631.38,1.33,0,0,0,24,2023,1
91210,250080341,Dummy Value 84,Dummy Value 17,Dummy Value 14,G17AS1B02,228,General Surgery,MCP,Medsurg Capital,General Surgery,Endoscopy,Endoscopy & NSE,2018-10-26,0,0,2099-12-31,,EA,1,,12115.78,15,13,181736.7,1.82,0,0,0,2,2099,0
91210,1188010000E,Dummy Value 67,Dummy Value 25,Dummy Value 16,SALEBULK,229,Video,MCP,Medsurg Capital,Video,Endoscopy,Endoscopy & NSE,2016-12-16,2,22,2040-12-31,,EA,1,,164558.66,1,0,164558.66,1.65,0,0,0,1,2040,22
91210,1460700033,Dummy Value 91,Dummy Value 74,Dummy Value 93,G19AS1E01,423,Stretchers,MCP,Medsurg Capital,Beds,Medical,Institutional Business,2017-08-23,1,14,2099-12-31,,EA,1,,1604.41,3,0,4813.24,0.05,0,0,0,3,2099,14
91210,71150004,Dummy Value 31,Dummy Value 75,Dummy Value 54,G12ES1E01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-07-12,0,3,2023-02-27,,EA,1,,6979.38,3,0,20938.15,0.21,0,0,0,3,2023,3
91210,71150003,Dummy Value 31,Dummy Value 89,Dummy Value 39,G01FS1B01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-05-03,0,5,2023-01-22,,EA,1,,6989.64,8,0,55917.15,0.56,0,0,0,8,2023,5
91210,234010061,Dummy Value 74,Dummy Value 36,Dummy Value 32,T01AS1C01,105,Surgical Implants,IMP,Implant SKU,Joint Preservation,Sports Medicine,Orthopaedics,2016-03-10,2,31,2020-01-31,,EA,1,,3361.44,10,0,33614.42,0.34,0,0,0,10,2020,31
91210,482317065,Dummy Value 38,Dummy Value 89,Dummy Value 78,G15AS2C05,126,Thoraco-Lumbar,IMP,Implant SKU,Spine,NSE,Endoscopy & NSE,2018-02-02,0,8,2040-12-31,2016-04-18,EA,1,,6565.53,4,0,26262.12,0.26,0,0,0,4,2040,8
91210,46077401E,Dummy Value 87,Dummy Value 22,Dummy Value 78,F07BS1G01,114,Trauson - Trauma,IMP,Implant SKU,Trauson,Trauson,Trauson,2018-09-05,0,1,2099-12-31,2018-07-16,EA,1,,1861.55,1,0,1861.55,0.02,0,0,0,1,2099,1
91210,MOT406,Dummy Value 33,Dummy Value 36,Dummy Value 26,YDR5-8B,406,Beds,MCP,Medsurg Capital,Beds,Medical,Institutional Business,2018-01-09,0,9,2099-12-31,,EA,1,,5700.73,1,0,5700.73,0.06,0,0,0,1,2099,9
