Branch_Plant,Item_Nbr,Item_Desc1,Item_Desc2,Lot_Nbr,Location,Product_Line_Code,Product_Line,Item_Type_Code,Item_Type,Product_Level3,Product_Level4,Product_Level5,First_GRN_Date,Item_Year_Aging,Item_Month_Aging,Expiry_Date,Manufacturing_Date_(PRC only),UOM,Pack_Content,Lot_Status,Unit_Cost,Qty_On_Hand,Qty_Hard_Committed,Total_Value,Total_Value_In_Lacs,Qty_Soft_Committed,Qty_Work_Order_Hard_Committed,Qty_Future_Committed,Qty_Available,Year_Expiry,Item_Month_Aging
91210,8270310,Dummy Value 48,Dummy Value 95,Dummy Value 100,SSBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-09-12,0,1,2023-06-07,,EA,1,,5526.31,24,0,132631.38,1.33,0,0,0,24,2023,1
91210,71150004,Dummy Value 31,Dummy Value 75,Dummy Value 54,G12ES1E01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-07-12,0,3,2023-02-27,,EA,1,,6979.38,3,0,20938.15,0.21,0,0,0,3,2023,3
91210,71150003,Dummy Value 31,Dummy Value 89,Dummy Value 39,G01FS1B01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-05-03,0,5,2023-01-22,,EA,1,,6989.64,8,0,55917.15,0.56,0,0,0,8,2023,5
91210,234010061,Dummy Value 74,Dummy Value 36,Dummy Value 32,T01AS1C01,105,Surgical Implants,IMP,Implant SKU,Joint Preservation,Sports Medicine,Orthopaedics,2016-03-10,2,31,2020-01-31,,EA,1,,3361.44,10,0,33614.42,0.34,0,0,0,10,2020,31
91209,5545A701,Dummy Value 16,Dummy Value 53,Dummy Value 98,P02AS1A01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-07-15,1,15,2022-04-02,,EA,1,,13894,2,0,27788,0.28,0,0,0,2,2022,15
91210,277096282,Dummy Value 80,Dummy Value 76,Dummy Value 89,G16CS1D03,300,LB Power Tools,MCS,Medsurg Consumable,Heavy Duty,Power Tools & Navigation,Orthopaedics,2016-08-19,2,26,2021-07-01,,EA,1,,5816.15,1,0,5816.15,0.06,0,0,0,1,2021,26
91210,263007L,Dummy Value 52,Dummy Value 82,Dummy Value 46,F14DS1F01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-05-03,0,5,2022-04-20,,EA,1,,11316.17,8,0,90529.35,0.91,0,0,0,8,2022,5
91210,67200230,Dummy Value 54,Dummy Value 30,Dummy Value 74,SALEBULK,100,Hips,IMP,Implant SKU,Hips,Joint Replacement,Orthopaedics,2018-09-13,0,1,2023-02-20,,EA,1,,22730.39,12,0,272764.68,2.73,0,0,0,12,2023,1
91210,814406L,Dummy Value 54,Dummy Value 34,Dummy Value 43,G02ES1C01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-05-03,0,5,2022-12-02,,EA,1,,11228.32,6,0,67369.91,0.67,0,0,0,6,2022,5
91210,263005R,Dummy Value 23,Dummy Value 92,Dummy Value 54,F03DS1C02,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-11-28,1,11,2022-02-13,,EA,1,,11257.17,1,0,11257.17,0.11,0,0,0,1,2022,11
91210,814408L,Dummy Value 100,Dummy Value 67,Dummy Value 77,F04AS1A01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-10-28,1,12,2022-05-07,,EA,1,,11346.95,1,0,11346.95,0.11,0,0,0,1,2022,12
91210,814408R,Dummy Value 77,Dummy Value 60,Dummy Value 15,F14CS1C01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-04-13,0,6,2023-02-11,,EA,1,,11346.95,3,0,34040.85,0.34,0,0,0,3,2023,6
91210,814409L,Dummy Value 21,Dummy Value 31,Dummy Value 93,SSBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-09-12,0,1,2023-05-04,,EA,1,,11470.07,8,0,91760.56,0.92,0,0,0,8,2023,1
91210,71150011,Dummy Value 55,Dummy Value 68,Dummy Value 43,SALEBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-03-12,0,7,2022-12-05,,EA,1,,7114.05,3,0,21342.14,0.21,0,0,0,3,2022,7
91210,71150006,Dummy Value 23,Dummy Value 29,Dummy Value 12,F05ES1E06,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-05-03,0,5,2023-01-31,,EA,1,,6979.38,2,0,13958.77,0.14,0,0,0,2,2023,5
91210,263007R,Dummy Value 25,Dummy Value 44,Dummy Value 86,F04AS1C08,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-06-16,1,16,2021-10-17,,EA,1,,11316.17,4,0,45264.68,0.45,0,0,0,4,2021,16
91210,67200635,Dummy Value 62,Dummy Value 90,Dummy Value 90,SALEBULK,100,Hips,IMP,Implant SKU,Hips,Joint Replacement,Orthopaedics,2018-09-19,0,1,2023-05-01,,EA,1,,22528.4,12,0,270340.8,2.7,0,0,0,12,2023,1
91210,714503R,Dummy Value 67,Dummy Value 39,Dummy Value 41,G05DS1D06,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-12-22,1,10,2022-09-05,,EA,1,,17456.8,2,0,34913.59,0.35,0,0,0,2,2022,10
91210,704105L,Dummy Value 77,Dummy Value 13,Dummy Value 26,F04CS1D02,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-02-21,0,8,2022-06-23,,EA,1,,16103.75,1,0,16103.75,0.16,0,0,0,1,2022,8
91210,3000002000,Dummy Value 79,Dummy Value 22,Dummy Value 24,G19AS1B03,314,Surgical Other,SVC,Service,Surgical Other,Power Tools & Navigation,Orthopaedics,2017-03-20,1,19,2099-12-31,,EA,20,,3489.69,1,0,3489.69,0.03,0,0,0,1,2099,19
91210,5550G339,Dummy Value 25,Dummy Value 15,Dummy Value 32,F02DS1A04,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-03-20,1,19,2020-10-21,,EA,1,,2904.87,1,0,2904.87,0.03,0,0,0,1,2020,19
91210,5530G609,Dummy Value 53,Dummy Value 87,Dummy Value 70,F02AS1A06,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-08-07,0,2,2023-03-11,,EA,1,,4780.53,2,0,9561.06,0.1,0,0,0,2,2023,2
91210,704111R,Dummy Value 83,Dummy Value 33,Dummy Value 97,G04DS1F01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-05-22,1,17,2021-12-09,,EA,1,,17007.92,4,0,68031.68,0.68,0,0,0,4,2021,17
91210,814409R,Dummy Value 83,Dummy Value 89,Dummy Value 32,SSBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-09-12,0,1,2023-04-26,,EA,1,,11470.07,4,0,45880.28,0.46,0,0,0,4,2023,1
91210,5801373,Dummy Value 65,Dummy Value 86,Dummy Value 89,G06BS1A06,100,Hips,IMP,Implant SKU,Hips,Joint Replacement,Orthopaedics,2017-06-07,1,16,2022-04-03,,EA,1,,8181.71,1,0,8181.71,0.08,0,0,0,1,2022,16
91210,814406R,Dummy Value 29,Dummy Value 62,Dummy Value 20,F14ES1E01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-03-12,0,7,2022-06-25,,EA,1,,11228.32,4,0,44913.27,0.45,0,0,0,4,2022,7
91209,804405L,Dummy Value 99,Dummy Value 78,Dummy Value 55,F05DS1B01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-04-23,0,6,2022-08-14,,EA,1,,10055.47,3,0,30166.4,0.3,0,0,0,3,2022,6
91210,6260046F,Dummy Value 58,Dummy Value 40,Dummy Value 71,F03AS1B03,100,Hips,IMP,Implant SKU,Hips,Joint Replacement,Orthopaedics,2017-07-26,1,15,2022-05-16,,EA,1,,21017.61,1,0,21017.61,0.21,0,0,0,1,2022,15
91210,814407R,Dummy Value 57,Dummy Value 17,Dummy Value 99,SSBULK,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-09-12,0,1,2023-06-18,,EA,1,,11346.95,8,0,90775.59,0.91,0,0,0,8,2023,1
91210,814411L,Dummy Value 52,Dummy Value 34,Dummy Value 50,G02FS1A01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-01-09,0,9,2022-11-13,,EA,1,,11749.66,6,0,70497.93,0.7,0,0,0,6,2022,9
91209,714505L,Dummy Value 85,Dummy Value 56,Dummy Value 32,G04DS1G01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-04-12,1,18,2022-03-14,,EA,1,,17535.67,1,0,17535.67,0.18,0,0,0,1,2022,18
91210,8212000000,Dummy Value 63,Dummy Value 75,Dummy Value 93,G13BS1A06,301,MB Power Tools,MCP,Medsurg Capital,Heavy Duty,Power Tools & Navigation,Orthopaedics,2017-11-25,1,11,2099-12-31,,EA,1,,9916.96,1,0,9916.96,0.1,0,0,0,1,2099,11
91210,67210027,Dummy Value 70,Dummy Value 44,Dummy Value 47,SALEBULK,100,Hips,IMP,Implant SKU,Hips,Joint Replacement,Orthopaedics,2018-09-13,0,1,2023-03-25,,EA,1,,23866.68,10,0,238666.8,2.39,0,0,0,10,2023,1
91210,8215000000,Dummy Value 47,Dummy Value 53,Dummy Value 48,G13BS1A03,300,LB Power Tools,MCP,Medsurg Capital,Heavy Duty,Power Tools & Navigation,Orthopaedics,2018-08-24,0,2,2099-12-31,,EA,1,,11687.45,1,0,11687.45,0.12,0,0,0,1,2099,2
91210,814405L,Dummy Value 91,Dummy Value 40,Dummy Value 40,F13DS1A01,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2018-04-13,0,6,2022-08-30,,EA,1,,11149.44,8,0,89195.55,0.89,0,0,0,8,2022,6
91210,804403L,Dummy Value 34,Dummy Value 42,Dummy Value 98,F03ES1B03,101,Knees,IMP,Implant SKU,Knees,Joint Replacement,Orthopaedics,2017-06-16,1,16,2021-06-30,,EA,1,,9976.59,1,0,9976.59,0.1,0,0,0,1,2021,16
